,filename,start_time,end_time,site_id,agouti_matches
0,flevopark_1_audio1_2021-09-10_19-05-22_(47),2021-09-10 19:05:22+00:00,2021-09-10 21:28:31+00:00,flevopark_1_,1
1,flevopark_11_audio1_2021-09-17_21-28-31_(54),2021-09-17 21:28:31+00:00,2021-09-17 23:51:40+00:00,flevopark_11_,4
2,flevopark_10_audio1_2021-11-21_18-23-10_(48),2021-11-21 18:23:10+00:00,2021-11-21 20:46:19+00:00,flevopark_10_,1
3,flevopark_12_audio1_2021-12-04_16-00-00_(10),2021-12-04 16:00:00+00:00,2021-12-04 18:23:09+00:00,flevopark_12_,1
4,flevopark_13_audio1_2021-09-28_18-23-10_(1),2021-09-28 18:23:10+00:00,2021-09-28 20:46:19+00:00,flevopark_13_,5
5,flevopark_13_audio1_2021-09-30_05-00-00_(8),2021-09-30 05:00:00+00:00,2021-09-30 07:23:09+00:00,flevopark_13_,1
6,flevopark_13_audio1_2021-09-30_20-46-20_(12),2021-09-30 20:46:20+00:00,2021-09-30 22:00:00+00:00,flevopark_13_,1
7,flevopark_13_audio1_2021-10-01_20-46-20_(17),2021-10-01 20:46:20+00:00,2021-10-01 22:00:00+00:00,flevopark_13_,2
8,flevopark_13_audio1_2021-10-01_18-23-10_(16),2021-10-01 18:23:10+00:00,2021-10-01 20:46:19+00:00,flevopark_13_,2
9,flevopark_2_audio1_2021-09-10_00-00-00_(0),2021-09-10 00:00:00+00:00,2021-09-10 02:23:09+00:00,flevopark_2_,2
10,flevopark_2_audio1_2021-09-10_21-28-30_(9),2021-09-10 21:28:30+00:00,2021-09-10 23:51:39+00:00,flevopark_2_,2
11,flevopark_2_audio1_2021-09-11_00-00-02_(11),2021-09-11 00:00:02+00:00,2021-09-11 02:23:11+00:00,flevopark_2_,5
12,flevopark_2_audio1_2021-09-29_16-00-00_(33),2021-09-29 16:00:00+00:00,2021-09-29 18:23:09+00:00,flevopark_2_,5
13,flevopark_2_audio1_2021-09-10_14-19-00_(6),2021-09-10 14:19:00+00:00,2021-09-10 16:42:09+00:00,flevopark_2_,2
14,flevopark_2_audio1_2021-09-10_19-05-20_(8),2021-09-10 19:05:20+00:00,2021-09-10 21:28:29+00:00,flevopark_2_,2
15,flevopark_2_audio1_2021-09-12_00-00-00_(18),2021-09-12 00:00:00+00:00,2021-09-12 00:14:28+00:00,flevopark_2_,2
16,flevopark_3_audio1_2021-11-12_18-23-10_(17),2021-11-12 18:23:10+00:00,2021-11-12 20:46:19+00:00,flevopark_3_,1
17,flevopark_3_audio1_2021-11-13_18-23-10_(22),2021-11-13 18:23:10+00:00,2021-11-13 20:46:19+00:00,flevopark_3_,1
18,flevopark_3_audio1_2021-11-14_16-00-00_(26),2021-11-14 16:00:00+00:00,2021-11-14 18:23:09+00:00,flevopark_3_,2
19,flevopark_3_audio1_2021-11-15_18-23-10_(32),2021-11-15 18:23:10+00:00,2021-11-15 20:46:19+00:00,flevopark_3_,1
20,flevopark_3_audio1_2021-11-15_05-00-00_(29),2021-11-15 05:00:00+00:00,2021-11-15 07:23:09+00:00,flevopark_3_,1
21,flevopark_3_audio1_2021-11-15_16-00-00_(31),2021-11-15 16:00:00+00:00,2021-11-15 18:23:09+00:00,flevopark_3_,1
22,flevopark_5_audio1_2021-11-21_18-23-10_(16),2021-11-21 18:23:10+00:00,2021-11-21 20:46:19+00:00,flevopark_5_,1
23,flevopark_7_audio1_2021-11-21_05-00-00_(13),2021-11-21 05:00:00+00:00,2021-11-21 07:23:09+00:00,flevopark_7_,1
24,flevopark_8_audio1_2021-09-17_16-42-10_(8),2021-09-17 16:42:10+00:00,2021-09-17 19:05:19+00:00,flevopark_8_,1
25,flevopark_8_audio1_2021-09-18_14-19-02_(25),2021-09-18 14:19:02+00:00,2021-09-18 16:13:18+00:00,flevopark_8_,1
26,flevopark_8_audio1_2021-09-17_21-28-30_(17),2021-09-17 21:28:30+00:00,2021-09-17 23:51:39+00:00,flevopark_8_,1
27,flevopark_8_audio1_2021-09-17_16-42-10_(15),2021-09-17 16:42:10+00:00,2021-09-17 19:05:19+00:00,flevopark_8_,1
28,flevopark_8_audio1_2021-09-18_11-55-52_(24),2021-09-18 11:55:52+00:00,2021-09-18 14:19:01+00:00,flevopark_8_,1
29,flevopark_9_audio1_2021-11-21_18-23-10_(101),2021-11-21 18:23:10+00:00,2021-11-21 20:46:19+00:00,flevopark_9_,1
30,flevopark_9_audio1_2021-11-13_18-23-10_(76),2021-11-13 18:23:10+00:00,2021-11-13 20:46:19+00:00,flevopark_9_,1
31,flevopark_9_audio1_2021-11-21_05-00-00_(98),2021-11-21 05:00:00+00:00,2021-11-21 07:23:09+00:00,flevopark_9_,1
32,artis_24_audio1_2022-08-03_15-15-00_(24),2022-08-03 15:15:00+00:00,2022-08-03 15:25:00+00:00,artis_24_,1
